shortlist_size,review_budget_minutes,coverage_bonus_weight,min_score_floor,min_weighted_coverage_ratio,solver_status,objective_value,mean_selected_count,mean_avg_score,mean_coverage_rate,mean_weighted_coverage_rate,jobs_underfilled,solve_time_s
10,25,0.12,0.35,0.55,optimal,45.009527062898876,4.966666666666667,0.575746952627193,0.7905555555555558,0.7813204645302263,30,1.6522818000230473
10,25,0.12,0.4,0.45,optimal,44.43849437694969,4.866666666666666,0.5881645396700722,0.8155555555555555,0.8080673436345608,30,1.1975423000112642
10,25,0.12,0.4,0.55,optimal,44.409965033281054,4.9,0.5817415219580847,0.81,0.8024081533328038,30,1.4865004000021145
10,25,0.18,0.3,0.45,optimal,51.09738726381624,4.866666666666666,0.5879301439734343,0.8211111111111111,0.8140841134885121,30,1.260868000012124
10,25,0.18,0.3,0.55,optimal,51.29332313309093,4.9,0.583103002853058,0.8211111111111111,0.8138564515398824,30,1.2354403999925125
10,25,0.18,0.35,0.45,optimal,51.82419478476071,4.933333333333334,0.5804986289621031,0.8211111111111111,0.8140841134885121,30,1.1925589999882504
10,25,0.18,0.35,0.55,optimal,51.18145646071174,4.933333333333334,0.5787500106779823,0.81,0.8024570351645549,30,0.9369080000033136
10,25,0.18,0.4,0.45,optimal,50.68538977183628,4.833333333333333,0.592267587024351,0.8211111111111111,0.813896525425827,30,0.9225878000142984
10,25,0.18,0.4,0.55,optimal,50.581418527170264,4.866666666666666,0.5865427104017061,0.8155555555555555,0.8079278615681438,30,0.9233273999998346
10,35,0.08,0.3,0.45,optimal,69.44761780744939,6.0,0.5696893127885212,0.7794444444444445,0.7710919618737474,30,1.07662230002461
10,35,0.08,0.3,0.55,optimal,69.78652899729512,6.0,0.5745852856979038,0.7766666666666668,0.7672521712915744,30,0.8903293999901507
10,35,0.08,0.35,0.45,optimal,69.43388762515386,5.966666666666667,0.5750472822855524,0.7933333333333333,0.785813578140747,30,0.8219726999814156
10,35,0.08,0.35,0.55,optimal,70.16890825754034,6.0,0.5767134743404294,0.7766666666666667,0.7682411445465834,30,0.7793555999814998
10,35,0.08,0.4,0.45,optimal,68.67217419577733,5.933333333333334,0.5754646567054997,0.81,0.8021848400031075,30,0.9463069000048563
10,35,0.08,0.4,0.55,optimal,69.16947504766733,5.966666666666667,0.5756685099510083,0.7794444444444445,0.7707886256464413,30,1.3085836000100244
10,35,0.12,0.3,0.45,optimal,73.42530424902546,6.0,0.5686965036355678,0.7822222222222223,0.7735684113846802,30,1.0860171999956947
10,35,0.12,0.3,0.55,optimal,74.22310637936077,6.033333333333333,0.5679203055997573,0.81,0.8025507916718778,30,0.9672115999856032
10,35,0.12,0.35,0.45,optimal,74.11315476933659,6.0,0.5710150967028784,0.8155555555555556,0.8086665370287692,30,0.8416735999926459
10,35,0.12,0.35,0.55,optimal,74.83662508092058,6.033333333333333,0.5704663754992935,0.8155555555555556,0.8073313614579821,30,0.8520028000057209
10,35,0.12,0.4,0.45,optimal,72.79350021200955,5.933333333333334,0.573388145019763,0.7905555555555556,0.7823803104289564,30,0.7283511999994516
10,35,0.12,0.4,0.55,optimal,72.65931515409504,5.933333333333334,0.5749780127444192,0.7933333333333333,0.7844200313697564,30,0.9148974000127055
10,35,0.18,0.3,0.45,optimal,80.67991732817949,6.0,0.5668911278532408,0.8388888888888889,0.8329623780579911,30,0.6383067999850027
10,35,0.18,0.3,0.55,optimal,79.69560988769831,5.933333333333334,0.5751870413341515,0.8266666666666667,0.8197007922587857,30,0.7391958000080194
10,35,0.18,0.35,0.45,optimal,80.19883057835185,5.966666666666667,0.5707620500635713,0.8377777777777778,0.8313140493091372,30,0.35932590000447817
10,35,0.18,0.35,0.55,optimal,79.93607508744891,5.966666666666667,0.5698362310595854,0.8322222222222223,0.825662636455924,30,0.890849999996135
10,35,0.18,0.4,0.45,optimal,79.5007987842332,5.933333333333334,0.5749492650200512,0.8277777777777777,0.8212006422916969,30,0.6341719000192825
10,35,0.18,0.4,0.55,optimal,79.30360348677046,5.933333333333334,0.5684862011504408,0.8444444444444446,0.8384698227527636,30,0.79264709999552
